Tamanho do Array,Bubble Sort (s),Quick Sort (s),Insertion Sort (s)
10000,123.755396135,0.011587321,21.929021919
20000,429.238252006,0.019317766,84.104616161
30000,820.299322315,0.03166614,176.421212571
40000,1224.165516793,0.048415162,302.815456469
50000,1569.918894476,0.062442996,442.240184903
60000,1917.768295627,0.071308421,595.707734
70000,2248.053570749,0.082288765,762.420629662
80000,2532.527085351,5.884914435,923.458012077
90000,2744.689627373,5.800288609,1098.755966684
100000,2859.070400493,5.722891927,1246.961703922
